song_mbid,artist_mbid,playcount,listeners
012a7a3b-7b62-49ce-b2f4-6a0910050c4a,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,9644526,946086
012b7cd6-a0d0-45d2-bf48-7ca5b4113345,8da127cc-c432-418f-b356-ef36210d82ac,7242741,442939
012e72f5-3139-440d-9cf8-eb901a1a430d,9fff2f8a-21e6-47de-a2b8-7f449929d43f,5475331,642844
0130dd91-d251-4295-bb5d-6592bd17880f,f2eef649-a6d5-4114-afba-e50ab26254d2,9157745,1022812
0131d153-659e-4f84-9482-b67ad9b5ad3b,74922d42-c3ec-4f7d-8a24-20da6eda6ba6,31619745,1613135
013307c7-d893-4149-a238-910230980ec1,cc0b7089-c08d-4c10-b6b0-873582c17fd6,5308942,829932
0139ea84-8c02-4be0-9804-bb29b4ea4955,a466c2a2-6517-42fb-a160-1087c3bafd9f,4434186,550607
0143d2d3-741d-4da3-a19b-11ebc04a0c14,24e1b53c-3085-4581-8472-0b0088d2508c,6866307,651355
0143d47f-1f2d-3730-90e1-6209468174a0,9689aa5a-4471-4fb4-9721-07cecda0fa9f,4577045,676387
0149564c-eebc-3469-9ea0-8e9513f84b80,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,5909664,758880
014e226c-5945-41f4-8fee-76982d49b878,2baf3276-ed6a-4349-8d2e-f4601e7b2167,4125191,384214
0151b4c7-0bc2-4cfe-bb85-11fd6d1a865d,f59f7cee-8f6a-4a6f-b23c-f3b5fdf6208f,4335963,575100
0152739b-716a-4be1-b3d5-5ca8ca1f3eab,a466c2a2-6517-42fb-a160-1087c3bafd9f,16871634,1303204
01531289-e5a2-4046-af72-4f9fa01e7e29,8f64d6ea-3f6c-408c-b2e0-e5334b28dae9,7000136,517799
01541b33-4653-4567-b7b6-e2c3a62c12cf,7fb57fba-a6ef-44c2-abab-2fa3bdee607e,8858464,822961
0155deef-1cd3-4142-a2cf-fbb25c027dbd,b9472588-93f3-4922-a1a2-74082cdf9ce8,4877976,530150
016099d8-c68b-318c-a71b-148c33637197,8bfac288-ccc5-448d-9573-c33ea2aa5c30,7867979,1174507
0163d85b-fe39-46a0-9ab1-efe0e38ae2cd,49204a7a-ed85-407a-828f-6fd46f1d8126,25181276,785193
0166be99-9c62-40ba-ad11-7e8c0f6fcb98,21dab5d7-3bda-4f72-a054-6379729dcb62,3910934,408560
0167cd7a-b92c-3588-909e-4f621fd9657e,a16371b9-7d36-497a-a9d4-42b0a0440c5e,13094230,990230
01681f9e-c379-3a69-a221-ce77d8762fa8,2eada8f8-056a-4093-bbc2-004909ce743b,4951560,519060
01683eb0-ac0f-470c-937d-2ce84e43bb14,92da4329-77a4-425c-8e92-4280110cace9,3789317,258148
016d187f-0e11-4171-82e9-15f04fafa097,d786f59b-1836-4ddb-8393-ab753edbe984,17514198,1072582
016d9643-722e-4283-85ed-2844038dc537,66fc5bf8-daa4-4241-b378-9bc9077939d2,7487912,727009
0175a2d7-a52d-4159-b5f9-c09ecc37e20e,96855c21-b832-4366-ba12-0d2330c36a86,6291581,431900
017a2ade-b084-4ac4-a33d-e945284df384,76b2e842-5e85-4c97-ab62-d5bc315595b5,5031612,636814
017ac7e5-9244-4b66-9c3d-8544372686f4,763cb144-afdb-471e-bd86-d4f5b9b58641,7401135,481423
017f094d-710d-4a6f-8f77-b47db446d2b4,64b94289-9474-4d43-8c93-918ccc1920d1,5432053,669188
0180cd3b-0087-4555-958a-5100be00a50b,c07f0676-9143-4217-8a9f-4c26bd636f13,8667850,820689
0182e9f2-424a-4f47-8d2d-729bf8540e77,5c61efe6-3cdf-4160-b43c-9274944369e6,2157766,284032
01868a5b-12e2-453e-b0d5-47c0c1d44a79,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,26175652,1533275
018cc303-30ee-3450-bcd3-ab05196b7ff4,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,7538191,731366
018db464-a901-44fc-9836-b212c13934e3,122d63fc-8671-43e4-9752-34e846d62a9c,11819053,1471664
0192a37d-1db4-446d-9614-04a2862a4152,fc63a914-272d-4b95-9221-61adcce6f793,1156242,127630
0197491c-5d17-4457-9297-a710c81abe75,b23e8a63-8f47-4882-b55b-df2c92ef400e,12143595,1135385
019ba489-c204-451f-8381-e6b0c746e6eb,2386cd66-e923-4e8e-bf14-2eebe2e9b973,5378746,827084
019f6468-3879-4a9e-9fd0-1bcc62ef1d17,f2492c31-54a8-4347-a1fc-f81f72873bbf,12703202,940462
019fb563-ef38-4c05-9551-ddf109e7f6e5,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,5367608,696515
01a14f4d-45dd-438b-b9f6-7454eb4683ef,f59c5520-5f46-4d2c-b2c4-822eabf53419,9909820,1068928
01a22f39-2d78-4277-99eb-682c4d7cee27,b896aa8c-2761-40ce-b485-0e1fffd26167,4055978,642346
01a37c9b-c088-4b1b-996c-11634054c61f,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,7197906,651395
01a70574-fcf4-4292-a29b-bd5dc6892cfa,260b6184-8828-48eb-945c-bc4cb6fc34ca,7961001,821016
01a76c50-a903-346b-b93a-90806ea6debc,95f5b748-d370-47fe-85bd-0af2dc450bc0,7417918,854769
01a9478b-10f4-45fc-92ea-8de47f491d4d,aaed1746-ea00-4cb4-9273-88b34e148991,3740234,393671
01aeecae-dff0-4a57-a8f1-d3a7acd2763f,3377f3bb-60fc-4403-aea9-7e800612e060,12644859,1029041
01b395c4-709d-403d-bb74-5839dbf8b1bc,8da127cc-c432-418f-b356-ef36210d82ac,10705188,619663
01b770e1-d56f-4ce2-b55e-3be77093c002,b4691384-50c3-4afd-9988-51d3ec5db65d,8410366,607308
01b85cb7-d6b9-4b35-b211-1194154ae081,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,2876474,314296
01be30ee-f6df-3de9-87e0-f50c9346055e,f59c5520-5f46-4d2c-b2c4-822eabf53419,8472644,978350
01bf48e5-86f5-49fb-8a72-8ef01e4b7d99,bdb2e504-7372-4f5b-a6c7-d578021c53b5,8644795,855896
01bf5927-7fbf-4af3-9d8d-4195381e862d,20244d07-534f-4eff-b4d4-930878889970,21099673,808312
01c639bd-4b06-416c-89e3-c38d423a3d06,650e7db6-b795-4eb5-a702-5ea2fc46c848,7769481,448959
01c87bbf-bae3-48f7-a0ad-b3a011a07318,1036b808-f58c-4a3e-b461-a2c4492ecf1b,6708302,566409
01c958de-d787-3650-b14f-0fb0edff56fc,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,7452839,734525
01cc214e-181f-4390-a86c-b7aaeffd8539,0d79fe8e-ba27-4859-bb8c-2f255f346853,15208709,414344
01d47f55-9884-35b4-a384-8c0ac806e66f,c07f0676-9143-4217-8a9f-4c26bd636f13,8383705,760006
01d5493b-44a9-4676-a037-5eb1864f8b1a,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,5679379,609802
01dfc5b8-2481-4fea-98ad-0686610a97a3,6ffb8ea9-2370-44d8-b678-e9237bbd347b,31009517,2653941
01dfee04-aa14-493d-8bec-3121789ba72d,fac55e3c-d459-45ed-9f9f-f5078d3b3423,3278764,380809
01e546ed-ad8e-3c68-8d27-ffc0e75d8a0d,9689aa5a-4471-4fb4-9721-07cecda0fa9f,4165926,628805
01e582e4-8cbd-3b84-b0c9-75054f90162a,8bfac288-ccc5-448d-9573-c33ea2aa5c30,13859640,1549047
01e6a93a-89ce-4931-a340-73606874e9dd,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,37280428,2466749
01e778fd-25e3-4023-b7da-cff731adbbda,b2d122f9-eadb-4930-a196-8f221eeb0c66,15842962,1246131
01f19057-876e-45f6-a8ab-606d3857febf,f181961b-20f7-459e-89de-920ef03c7ed0,13789756,1403669
