song_mbid,artist_mbid,playcount,listeners,song_enc_id,artist_enc_id
5aba27a4-d491-4819-b826-e11ef56e7e43,d7134426-a937-43bf-bc54-f10ad8102ed9,3245153,474936,2618,884
a5ddb256-b662-4df0-8b39-7cac2f44e462,c0ef2ba5-a7b7-40ea-bd27-30acccfcac11,8256010,818673,3777,794
0e4674db-08f9-3d03-ad93-d95d6361f6de,4b1a830b-0a1f-42e5-b8d5-1d6743912e99,8970620,1014053,873,299
43180bc5-2d97-425d-a43c-2552e200aed3,122d63fc-8671-43e4-9752-34e846d62a9c,5529101,526160,2146,62
5b9558de-435b-49a9-b863-c17dfad43206,dc99e6fd-c710-4f79-b74b-127b4d0b7849,5343314,538097,2640,902
2fc431b2-8cc2-4c3b-a0f3-aa0f8f5a254a,ca9766a0-1c30-43e6-a213-bac1334efc4a,5709570,528881,1797,832
0152739b-716a-4be1-b3d5-5ca8ca1f3eab,a466c2a2-6517-42fb-a160-1087c3bafd9f,16871634,1303204,118,674
70cdde02-62d7-4bb8-af37-bf0547d0681e,142b343d-bf5a-428c-a64f-6d1a7566bbe9,4563833,201567,3006,72
3819554f-af6f-4768-928e-1c379656a2d9,79239441-bfd5-4981-a70c-55c3f15c1287,6224210,649013,1970,487
c9447e79-e983-40ed-aaf2-b3a3da201e43,21dab5d7-3bda-4f72-a054-6379729dcb62,9885134,728902,4256,126
0219893f-c107-3b6b-acdd-e2af3302ac10,381086ea-f511-4aba-bdf9-71c753dc5077,31640395,1950755,184,225
0b899580-c049-4322-acfe-e4c99426bb4d,b7539c32-53e7-4908-bda3-81449c367da6,12386797,741191,752,746
491bad3d-fc2f-47d2-99f3-28de7298c4fe,8837b875-3689-4646-b3fd-d8b53815c7a8,3797129,319691,2273,552
7e1b7d1e-16f9-40c8-9e42-f591d46b4d5f,c07f0676-9143-4217-8a9f-4c26bd636f13,6287144,657219,3229,790
62d151f7-7639-470b-909b-7cb2c2b603d4,99450990-b24e-4132-bb68-235f8c3e2564,5779176,549686,2790,633
1adb7865-ace6-4fa0-892b-77c6bc991c07,a41ac10f-0a56-4672-9161-b83f9b223559,9880029,1501757,1287,673
6193b553-c2bf-410d-9bfc-d950681510ea,f59c5520-5f46-4d2c-b2c4-822eabf53419,17302598,1626746,2769,1013
1da1879e-8f0a-4fea-8d49-519b39aff6a7,95663592-1447-4579-90f7-c94733476667,5578420,258979,1365,613
09f03130-4b30-46d8-a2cd-81f8ef9bb97b,7cf0ea9d-86b9-4dad-ba9e-2355a64899ea,21515286,2151668,666,502
4dd619b3-c782-4337-9a3e-81eb34dfe1c5,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,17167534,1081489,2381,429
8dbdc335-eb3e-48d4-9d72-549bfb9f31d0,b7539c32-53e7-4908-bda3-81449c367da6,20941141,1522566,3476,746
4c177d07-a409-4d44-95ed-547d01968eee,4ebb5ad3-9018-407d-8c24-c03011ab9ac6,2767634,370307,2338,322
001f2770-4a3f-4baf-8cbd-132b54a87568,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,17003401,1446492,9,404
d2cca57a-e1a1-45b9-8da6-7b5d716468f2,5df62a88-cac9-490a-b62c-c7c88f4020f4,5060709,492824,4378,378
d1aafb17-54ae-47d3-bcde-af2b7c6da925,775ad383-ac2d-479a-af9d-b561442cb749,4230796,191600,4368,482
0a0d7c75-e33b-4c95-8684-805f3022aa0a,650e7db6-b795-4eb5-a702-5ea2fc46c848,9729212,711336,675,406
005328e6-7861-4a9b-9336-c7e18aca53ad,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,12761645,673383,41,1012
2a2fbfc6-b576-4224-be6f-bb9325331f93,e0140a67-e4d1-4f13-8a01-364355bee46e,8752891,826336,1668,916
098ed81a-fa33-4212-ac6d-2cc19dde5fef,650e7db6-b795-4eb5-a702-5ea2fc46c848,27159306,1571314,648,406
da7e0023-c9e3-41d8-90e3-3bbbe77a943d,d49abf5b-0d72-4239-8ec8-c3d7464707f6,3142304,369840,4482,867
009e4934-00cd-400a-a6c6-0af86d148565,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,8255828,674498,59,949
b291d115-5574-4471-a962-2f0a194878b6,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,8024612,675466,3950,1008
101e682f-6029-4174-a9ca-c46acbf7903a,bfcb6630-9b31-4e63-b11f-7b0363be72b5,4876265,468340,942,787
14f62eaa-adfa-4b4b-a89e-443bc6e7e512,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,5464142,593596,1114,824
e51ebbe7-1552-4228-af49-bff8c08e6113,d616b606-cf6a-4b6e-ab0f-e253b8db6610,484347,111368,4617,879
7864eb6e-9230-4583-b391-cd66232a4ddd,1550f952-c91b-40d7-9b4d-d26a259ee932,3346549,280735,3136,78
