song_mbid,artist_mbid,song_name,artist_name,Disco,Gangsta Rap,Grunge,Hip-Hop,House,Kpop,Neo-Psychedelia,Neo-Soul,Nu Metal,Progressive rock,Reggaeton,alt-pop,alternative,alternative metal,alternative rock,art pop,classic rock,cloud rap,country,dance,dance-pop,dream pop,electronic,electropop,emo,emo rap,folk,funk,hard rock,heavy metal,hip hop,hyperpop,indie,indie folk,indie pop,indie rock,jazz,k-pop,metal,metalcore,new wave,pop,pop punk,pop rap,pop rock,post-hardcore,post-punk,punk,punk rock,rage,rap,rnb,rock,shoegaze,soft rock,soul,synthpop,trap
003bd65f-76e8-4725-9a32-e4ec2aeb9125,074e3847-f67f-49f9-81f1-8c8cea147e8e,Doomed,Bring Me the Horizon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003c1a9b-166d-478a-a182-1d190b8773d6,84d4283e-903a-42c4-a0d2-d3949bfa1f3f,Delusional,Ken Carson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
003e75e4-7e77-3dcb-b460-5b79d8a2c123,7527f6c2-d762-4b88-b5e2-9244f1e34c46,Entombed,Deftones,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003f70c6-8a7d-4208-b441-e21956888b25,b9472588-93f3-4922-a1a2-74082cdf9ce8,The Ballad of Mona Lisa,Panic! at the Disco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
003fab47-b81a-377b-afc4-48ce4fd6fc1d,4bb4e4e4-5f66-4509-98af-62dbb90c45c5,Down With the Sickness,Disturbed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00400cd7-d6e6-4a3f-a219-7dedda3933ab,b7539c32-53e7-4908-bda3-81449c367da6,Love song,Lana Del Rey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00408f71-1551-336b-8398-0e3805ca3d10,67930b3e-e00b-469f-8c74-fd69f20522ec,Kiss Of Life,Sade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0043af91-a2b1-3144-8afe-ed351c72dd4c,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,Venus as a Boy,Björk,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00469a82-abc5-4367-bde1-a59a4d30bcaf,3862342a-43c4-4cdb-8250-bfdbfb5e1419,Beggin',Måneskin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0046faae-0716-4534-bc70-6639a418bf63,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,Yeah Boy and Doll Face,Pierce the Veil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00495476-ba90-4a72-9a5a-28642097d33d,f59c5520-5f46-4d2c-b2c4-822eabf53419,Figure.09,Linkin Park,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
004ab209-1a88-4588-b1c7-c7e251baf3ef,f59c5520-5f46-4d2c-b2c4-822eabf53419,With You,Linkin Park,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
004cdfd7-1b97-316d-9e77-e3184d03d421,23a03e33-a603-404e-bcbf-2c00159d7067,Come Out and Play,The Offspring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
004e9a12-c1c7-3c7e-bf84-89868575f995,650e7db6-b795-4eb5-a702-5ea2fc46c848,Starstruck,Lady Gaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005328e6-7861-4a9b-9336-c7e18aca53ad,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,everytime,Ariana Grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
00566504-e04e-45b4-9ef2-263c48bd8f99,516cef4d-0718-4007-9939-f9b38af3f784,"""The Take Over, the Breaks Over""",Fall Out Boy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00579615-cf05-41fa-ae4d-4b1ba3210202,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,Bulls in the Bronx,Pierce the Veil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
