name,hash,x,y,z
gen z singer-songwriter,684a8357,18.709,64.6217,8.5778
electropop,9bf90e95,33.242,-126.1879,-17.0881
big room,e5fc082f,27.5714,-197.9206,5.2764
forro,e4704196,99.8478,-50.7338,14.2267
swedish pop,f7d4d001,-3.0894,-87.397,2.5298
classic oklahoma country,6c8ec959,49.469,116.5173,6.0826
reggaeton flow,5c88a826,210.5283,-139.606,-2.0539
pop nacional,e1cef122,87.9177,-92.2812,5.8525
british invasion,49a09ee6,-12.3167,59.9898,14.8428
mexican rock,c8a7ed47,-21.68,-143.2672,21.7054
indie soul,73021f16,95.2411,-77.2773,10.072
contemporary r&b,56663d92,92.7386,-119.5452,32.6719
folk-pop,9db925c5,-44.7265,15.3397,4.01
white noise,9d5a3b78,-338.7036,199.3734,61.4762
pagode novo,b2c4c015,37.9184,32.1325,0.1803
soundtrack,10d41994,-210.4757,121.7871,25.5522
funk metal,530f2d28,-71.2631,-79.1348,-10.3046
grunge,5b224f88,-155.9265,7.6883,-11.2123
french pop,0c603139,13.3735,-19.8703,12.0749
emo rap,46ef462b,25.0208,-78.1261,22.1586
salsa,2880c735,153.7508,103.5541,0.2964
rain,fbec17cb,-282.702,190.9102,73.0839
r&b francais,8bc05cac,112.5189,-55.5314,2.3979
lgbtq+ hip hop,8111b97b,128.6931,-122.5045,-0.7406
turkish rock,cc6f1aa8,-65.8504,14.8669,12.705
memphis hip hop,37b05bfe,192.8697,-162.0369,-3.4889
mariachi,0b505f15,33.3446,115.375,9.4124
brostep,0b45e314,31.4308,-174.8707,-32.8539
classic soul,9a92a4a5,56.4635,90.7728,0.5305
funk mtg,27ffcbf5,264.6334,-11.9917,-32.6536
trap triste,1b5d4110,116.6396,-56.7055,13.6128
dirty south rap,5472ee39,165.3973,-146.4873,0.3826
melodic metalcore,91430233,-201.7862,-119.5288,-1.0262
blues rock,4cdffd7f,44.0785,90.4144,11.3035
alternative hip hop,a4571438,116.4022,32.9127,-12.8233
melancholia,fecd0aa4,-105.8249,90.8056,10.6736
pop soul,5f341918,44.9412,-19.9657,14.1382
brazilian gospel,ffae50f8,-69.7994,23.0599,2.1348
outlaw country,00e3616e,69.1053,110.3283,-1.9366
orchestral soundtrack,52d501fe,-189.7103,129.9209,-13.3422
dutch house,e6b510cb,39.074,-201.4665,-22.8685
turkish hip hop,5b383a09,142.3217,-88.8017,-0.9729
queens hip hop,d75ecd15,160.6336,-15.7677,-8.4504
